Id,Region,Product,Year,Sales,Profit,Quantity
80,West,Keyboard,2023,3901.91,767.09,65
81,West,Switch,2023,7124.99,1564.31,93
82,Southwest,HardDrive,2020,7795.42,1473.32,73
83,Southeast,RAM,2024,2655.79,470.85,82
84,North,Router,2022,8006.93,1524.77,41
85,Northwest,Tablet,2024,20607.91,3903.18,46
86,North,Keyboard,2023,2688.08,452.06,116
87,Southwest,Speaker,2021,4242.41,959.31,68
88,Central,Switch,2022,8751.31,1329.66,89
89,North,Webcam,2021,7044.3,1730.99,25
90,North,Camera,2021,6937.92,1206.19,80
91,South,CPU,2021,11785.39,2671.63,41
92,South,Phone,2022,9170.74,2227.47,46
93,Southwest,Router,2021,1585.71,369.56,51
94,South,Scanner,2024,7114.13,1767.04,25
95,Northeast,RAM,2023,5848.81,1173.25,63
96,North,Switch,2023,2212.02,411.92,78
97,East,Switch,2021,7407.29,1592.91,98
98,Southeast,HardDrive,2023,10619.69,2222.14,61
99,West,Keyboard,2022,4096.86,804.91,147
100,Northeast,Laptop,2023,15937.39,2728.67,26
101,Northeast,Printer,2024,13584.59,2739.51,44
102,South,Camera,2023,22407.21,3899.58,80
103,Northwest,Modem,2020,1565.13,298.06,51
104,Central,CPU,2022,13018.6,2400.31,90
105,Northeast,Webcam,2023,2871.31,496.89,44
106,Northeast,Monitor,2024,12061.06,2699.99,27
107,Southeast,GPU,2022,4878.37,876.28,66
108,East,Scanner,2020,7209.64,1279.21,26
109,Southeast,Scanner,2021,6601.85,1314.35,21
110,Central,HardDrive,2023,11933.73,2942.26,52
111,Northwest,Monitor,2020,20021.18,4158.44,53
112,North,Tablet,2021,34106.85,5406.55,25
113,South,RAM,2023,6436.35,1363.49,86
114,Southwest,Modem,2023,3634.4,904.98,59
115,North,GPU,2020,7845.56,1384.46,30
116,East,Camera,2021,21298.21,3200.43,77
117,Northwest,Scanner,2020,2567.11,457.64,78
118,South,Camera,2022,26718.58,6502.42,74
119,South,RAM,2021,5956.31,1051.67,38
120,South,Mouse,2021,7435.18,1672.14,195
121,Central,Modem,2020,5989.4,1317.51,54
122,Southeast,RAM,2023,3779.47,581.99,75
123,Northeast,GPU,2022,2832.18,697.26,93
124,North,Printer,2024,7914.06,1325.76,86
125,Northwest,Printer,2021,22505.91,5208.42,31
126,Northwest,Webcam,2023,3343.26,536.46,40
127,Northeast,Switch,2023,3356.88,637.96,90
128,North,Modem,2020,4114.12,664.81,71
129,Southeast,Laptop,2024,21378.92,3607.87,33
130,Northwest,Modem,2020,2347.27,382.84,56
131,Northwest,HardDrive,2020,3791.23,799.52,50
132,East,Scanner,2024,1185.03,188.8,34
133,Northwest,Monitor,2021,26271.43,4707.48,55
134,Central,Switch,2023,5592.1,1147.09,69
135,West,GPU,2024,5546.01,985.11,73
136,Northeast,SSD,2022,2691.72,484.12,95
137,Northwest,Tablet,2023,24245.12,4442.77,58
138,Southeast,Router,2023,3857.36,956.92,50
139,Southwest,Camera,2023,5757.76,1135.99,68
140,Southwest,Tablet,2023,7719.33,1903.09,31
141,South,Modem,2020,6226.99,943.61,38
142,Southwest,Tablet,2020,24189.76,4269.55,49
143,Southwest,Keyboard,2022,8000.42,1626.98,131
144,Northwest,RAM,2020,4970.75,1059.35,56
145,West,Keyboard,2023,1856.77,409.21,75
146,Northwest,Phone,2022,4840.47,1111.44,28
147,Northeast,Webcam,2023,1914.18,366.0,43
148,East,Phone,2020,28997.62,6146.66,25
149,Northwest,CPU,2021,6384.5,1119.83,52
150,North,Modem,2022,7921.04,1246.66,64
151,Central,Switch,2022,6017.89,1022.57,69
152,Northwest,Monitor,2021,19913.44,4131.66,54
153,Central,Laptop,2023,18720.92,4427.62,59
154,North,GPU,2023,9650.83,1669.71,65
155,West,Headphones,2024,3063.16,680.31,85
156,South,Mouse,2022,7700.56,1601.39,83
157,South,Scanner,2022,7298.59,1241.34,89
158,Northeast,SSD,2024,7831.84,1376.03,81
159,Central,Speaker,2020,6250.91,1025.62,48
160,Southwest,RAM,2022,1803.7,273.07,88
161,South,Modem,2022,7322.94,1290.42,68
162,Northeast,Monitor,2021,18935.24,4514.61,45
163,Northeast,GPU,2021,11146.93,2590.39,58
164,Southwest,Monitor,2021,10280.59,1854.99,41
165,South,Monitor,2021,24095.07,4707.32,52
166,Southeast,Switch,2024,7207.3,1719.24,32
167,Northwest,GPU,2023,6140.83,1148.66,76
168,Northwest,Camera,2022,9033.27,1686.81,65
169,North,Router,2022,3303.96,809.14,78
170,South,Headphones,2024,1074.41,196.99,82
171,West,Keyboard,2024,2632.04,608.8,109
172,Northeast,Tablet,2024,7146.71,1775.26,18
173,Southeast,Printer,2021,8587.53,1310.27,21
174,Northeast,Camera,2024,12561.1,2217.5,36
175,Southwest,SSD,2020,3810.15,867.96,85
176,South,Modem,2024,3330.72,514.05,86
177,Central,Modem,2020,1946.98,457.01,74
178,South,HardDrive,2023,4917.76,896.07,38
179,South,Tablet,2022,31015.94,6353.17,30
180,Southwest,GPU,2024,7330.71,1543.43,32
181,South,RAM,2021,4683.41,809.52,63
182,Northwest,Router,2023,5779.8,1113.63,52
183,Northeast,Tablet,2023,8438.32,1337.78,37
184,South,Webcam,2021,5101.29,1253.2,91
185,Northeast,Monitor,2023,20801.94,5078.02,37
186,North,Scanner,2024,4165.2,865.49,47
187,East,HardDrive,2021,4797.03,986.4,34
188,Central,CPU,2021,12728.38,3149.7,99
189,Southeast,Laptop,2024,30998.41,5478.81,21
190,Central,Scanner,2022,4267.23,1011.27,92
191,Southwest,Keyboard,2021,6998.96,1071.3,185
192,West,Router,2023,4255.1,795.73,61
193,South,Mouse,2021,2578.17,399.56,70
194,Central,Modem,2023,6080.2,1163.86,47
195,Southeast,Monitor,2022,18404.37,4008.87,47
196,Northwest,SSD,2022,3242.89,805.68,27
197,North,Headphones,2022,3421.97,774.79,124
198,Northeast,Monitor,2020,24883.68,4169.75,34
199,Southeast,Camera,2024,24473.55,5644.09,29
200,Southwest,Mouse,2023,1081.43,170.63,130
201,Southwest,CPU,2023,14507.63,2596.16,71
202,North,Speaker,2021,9753.95,1911.87,66
203,South,Switch,2020,3084.89,586.27,30
204,Southwest,Scanner,2022,2533.28,422.58,85
205,South,SSD,2024,7236.89,1338.37,38
206,West,Monitor,2021,14079.41,2960.05,58
207,South,Phone,2023,22754.19,5142.17,38
208,Northeast,Speaker,2021,3775.88,733.35,58
209,Central,CPU,2020,10532.06,1906.73,77
210,North,Mouse,2022,9042.89,1939.4,73
211,Southeast,Router,2023,5560.06,1274.26,25
212,Northwest,CPU,2021,8114.07,1623.92,27
213,Northwest,Monitor,2022,10239.54,1712.62,25
214,Northwest,Modem,2024,5191.9,967.72,56
215,Southwest,Switch,2022,6425.62,1470.97,62
216,South,Speaker,2020,6146.57,1096.64,97
217,East,Speaker,2020,6345.01,1533.43,59
218,Southwest,Tablet,2024,9621.62,1805.67,60
219,Northeast,Tablet,2024,10993.5,2114.5,33
220,North,Webcam,2022,3194.62,588.36,82
221,West,Camera,2021,8294.88,1944.68,32
222,Southeast,RAM,2024,1307.14,310.63,99
223,East,GPU,2023,5243.32,1222.4,99
224,East,Modem,2020,4405.55,977.85,76
225,Central,Modem,2021,6168.46,1520.89,80
226,West,Webcam,2024,4325.56,770.72,68
227,Southeast,SSD,2023,5909.86,1360.01,37
228,Central,Mouse,2023,4892.07,784.0,182
229,South,Scanner,2020,6874.63,1340.08,85
230,East,Switch,2020,3226.64,769.43,23
231,Southwest,Mouse,2023,4663.11,879.54,70
232,Northeast,Camera,2020,16665.74,3898.41,62
233,East,Tablet,2020,20448.81,4033.44,18
234,Northwest,Modem,2024,1117.84,169.8,47
235,East,RAM,2024,5466.6,1244.29,50
236,Central,Monitor,2020,18722.04,4294.65,39
237,South,Monitor,2023,29228.67,6231.42,46
238,West,Tablet,2022,17662.36,3272.51,46
239,Southwest,Phone,2020,24199.86,3793.76,43
240,Southeast,SSD,2024,9736.89,2310.89,25
241,Southwest,Webcam,2022,5732.3,1311.85,64
242,West,Monitor,2024,15872.23,2940.01,31
243,East,Modem,2023,5895.17,963.77,78
244,North,Scanner,2021,1708.67,407.65,60
245,Central,SSD,2023,14213.11,2184.02,44
246,Central,Webcam,2020,7431.04,1207.15,67
247,Southwest,Router,2023,3757.43,633.81,83
248,Northeast,SSD,2022,4431.9,699.76,97
249,East,RAM,2022,3379.66,617.77,57
250,Central,Modem,2024,8153.15,1785.35,64
251,Northwest,Mouse,2022,6636.25,1177.64,64
252,South,Router,2022,5933.13,1293.07,23
253,East,GPU,2023,3348.19,581.24,66
254,Northeast,Router,2024,1241.63,270.56,67
255,Northeast,Modem,2020,4796.3,895.45,60
256,Central,Camera,2020,7294.49,1458.2,69
257,Southeast,Monitor,2022,16714.31,2865.79,49
258,Central,HardDrive,2021,5645.87,888.69,42
259,Northwest,Keyboard,2022,5850.35,915.54,188
260,Central,Scanner,2021,8483.51,1866.56,42
261,Northeast,SSD,2021,5464.55,1252.51,50
262,Northwest,Laptop,2022,25413.4,4999.85,45
263,East,GPU,2020,4047.59,1011.73,81
264,Southeast,Switch,2023,7530.81,1224.0,60
265,South,Modem,2023,6933.77,1129.05,90
266,East,Tablet,2023,28716.75,4466.64,17
267,Southeast,Tablet,2022,11366.86,2767.53,24
268,Northeast,SSD,2022,3756.28,801.99,90
269,Central,Tablet,2022,33947.97,6798.33,20
270,East,Phone,2024,24860.93,6026.11,12
271,North,Keyboard,2020,7843.79,1384.16,103
272,Southwest,GPU,2020,11903.29,2434.91,58
273,Northwest,Camera,2023,13803.19,3020.98,40
274,Northwest,Switch,2023,4137.24,871.58,60
275,Northeast,Webcam,2023,2129.4,429.07,33
276,Northeast,Camera,2023,7934.5,1386.89,32
277,North,Scanner,2023,7150.29,1760.89,40
278,Northeast,CPU,2022,6286.8,1256.27,85
279,Northwest,HardDrive,2022,8995.91,2199.71,84
280,Northwest,Camera,2021,21845.02,3387.16,83
281,Northwest,Scanner,2024,1123.73,216.98,53
282,Northeast,Router,2022,1260.64,260.99,44
283,Northeast,RAM,2022,1467.28,286.17,90
284,Central,GPU,2024,5567.87,889.01,67
285,Northeast,RAM,2022,6058.13,1273.7,71
286,Southeast,Mouse,2020,1108.58,203.21,171
287,Southeast,Modem,2021,6371.33,1044.76,98
288,Northeast,Phone,2023,14481.03,2906.8,42
289,Southeast,HardDrive,2024,7455.86,1130.78,62
290,South,Switch,2024,4009.37,892.21,100
291,North,GPU,2023,9506.59,2170.26,94
292,West,Mouse,2024,4200.44,894.28,147
293,East,Camera,2020,28143.99,4530.89,22
294,Northwest,Speaker,2023,2069.51,352.62,84
295,Northwest,Mouse,2021,4525.7,825.96,172
296,Southeast,Router,2022,2267.84,461.08,89
297,Northeast,Printer,2024,17895.48,3125.48,91
298,Central,Camera,2022,17956.98,3933.01,82
299,Northeast,HardDrive,2022,13158.98,3020.52,55
300,Central,Monitor,2024,30338.05,7524.32,32
301,East,Scanner,2020,3982.21,628.8,76
302,Central,HardDrive,2021,7985.88,1414.41,91
303,Central,Tablet,2020,35166.17,6116.39,13
304,Southeast,Camera,2021,5578.0,1020.94,80
305,South,Tablet,2020,31067.08,5150.74,51
306,Northwest,HardDrive,2021,6907.28,1482.23,31
307,West,RAM,2020,2252.34,526.51,24
308,Southwest,HardDrive,2021,8229.92,1242.11,92
309,South,Speaker,2022,5650.96,1154.66,83
310,East,SSD,2023,7155.09,1153.86,40
311,Northwest,Printer,2021,5575.6,1277.24,92
312,West,Phone,2024,19166.55,3862.6,15
313,Southwest,Monitor,2021,11891.38,2896.53,10
314,Central,Router,2021,5827.25,1430.03,58
315,North,Printer,2022,14175.63,2293.94,59
316,East,Router,2024,7648.63,1675.27,57
317,Northeast,GPU,2021,7164.7,1417.31,78
318,Northeast,Switch,2024,4989.14,1148.5,47
319,West,GPU,2020,10843.09,2389.56,29
320,South,Mouse,2024,4937.73,1005.65,92
321,Northeast,SSD,2023,4924.05,1091.62,82
322,South,SSD,2023,4051.91,815.75,78
323,North,RAM,2023,8212.87,1825.95,70
324,Central,Laptop,2021,30038.63,5778.52,54
325,South,RAM,2020,1871.49,369.07,56
326,Southwest,Phone,2021,17128.24,4095.93,38
327,Southwest,Router,2020,7180.29,1705.0,37
328,Northeast,Monitor,2021,23502.36,3824.65,24
329,North,Laptop,2022,28609.23,5849.0,44
330,Southwest,Camera,2021,18161.02,3224.76,34
331,North,Switch,2024,9364.73,2237.27,50
332,West,Keyboard,2020,4751.08,996.67,62
333,West,Mouse,2023,3999.04,686.74,64
334,East,SSD,2022,7825.41,1746.25,60
335,Northeast,Camera,2022,10621.8,2146.93,72
336,Central,Printer,2020,29975.3,7133.26,42
337,Southwest,RAM,2023,1510.89,368.9,68
338,Southeast,Speaker,2023,3669.66,688.6,88
339,Northwest,Camera,2021,15704.58,2582.39,79
340,North,RAM,2023,5344.95,873.41,51
341,Central,Headphones,2022,7026.28,1369.97,144
342,South,RAM,2021,1394.33,303.08,97
343,North,Keyboard,2021,9506.51,2114.54,193
344,West,HardDrive,2021,7533.04,1814.7,47
345,West,Monitor,2023,16087.56,3545.33,35
346,West,RAM,2022,6506.8,1279.4,65
347,Central,Printer,2022,27832.89,5471.96,80
348,Northeast,Headphones,2022,3292.85,679.16,106
349,East,Laptop,2022,30844.57,6413.03,36
350,Central,Tablet,2021,21555.18,4461.47,25
351,Northwest,RAM,2022,3198.16,635.99,82
352,Northwest,Phone,2022,8879.6,1817.25,21
353,Southeast,Mouse,2024,1343.05,211.44,62
354,North,Switch,2021,9688.96,1519.2,39
355,North,Headphones,2024,5561.92,1177.92,173
356,Northwest,Laptop,2020,24561.18,3713.28,43
357,Central,RAM,2022,1368.51,300.78,75
358,East,Monitor,2020,23789.61,4025.04,43
359,Central,Webcam,2022,8859.5,1659.43,71
360,Northwest,CPU,2021,12515.66,2733.47,30
361,North,Keyboard,2023,4826.33,953.69,52
362,East,Keyboard,2023,8163.09,1864.76,194
363,South,SSD,2020,6516.61,1543.21,92
364,Northwest,Printer,2020,7475.62,1330.94,89
365,North,Phone,2022,7124.42,1486.89,58
366,Southwest,Keyboard,2022,2258.21,466.7,149
367,Southeast,Speaker,2023,7346.61,1682.74,30
368,Southeast,Webcam,2020,1676.03,391.97,63
369,Southwest,Speaker,2020,5463.1,1361.72,82
370,West,Webcam,2024,3787.93,825.65,68
371,South,GPU,2022,7838.74,1240.12,39
372,Southwest,Tablet,2023,16689.27,2656.13,29
373,Northwest,Webcam,2022,1542.62,260.3,77
374,Southeast,RAM,2024,3608.15,573.56,90
375,South,GPU,2024,9638.04,1457.6,72
376,Southwest,Keyboard,2024,2903.11,484.7,147
377,East,Tablet,2022,17518.99,2883.51,20
378,Southwest,Printer,2023,14010.78,2209.39,52
379,West,HardDrive,2024,11251.08,1808.02,58
380,North,Router,2022,9662.56,2226.33,62
381,Northwest,Speaker,2023,8041.43,1729.74,96
382,East,Scanner,2022,7035.24,1196.59,60
383,East,Router,2022,3795.01,809.44,93
384,West,Speaker,2023,3444.15,651.96,34
385,West,CPU,2024,5973.84,1224.7,79
386,West,Modem,2022,7870.31,1825.1,72
387,Northwest,Tablet,2022,13951.57,2307.79,37
388,Southwest,Keyboard,2023,5566.36,1058.06,179
389,Southwest,RAM,2020,8153.88,1795.19,88
390,South,Monitor,2021,32485.31,5413.15,49
391,North,CPU,2023,10903.78,2104.93,21
392,South,Printer,2021,24429.11,5027.49,93
393,West,Modem,2022,3947.22,860.32,84
394,East,Webcam,2020,4613.98,884.03,30
395,South,Tablet,2022,18273.2,4174.09,43
396,Northwest,Webcam,2023,1675.68,368.11,60
397,South,Scanner,2020,8501.77,1294.47,63
398,South,Phone,2021,20863.78,3463.67,45
399,Southwest,Modem,2021,6943.61,1169.62,75
400,Southwest,Laptop,2024,13522.93,2609.32,10
401,West,Headphones,2022,7242.71,1662.93,197
402,South,RAM,2021,3987.19,780.51,53
403,Northwest,SSD,2022,11714.04,2216.93,34
404,Northeast,Webcam,2023,5159.1,1121.38,58
405,South,Tablet,2022,11524.78,1863.5,33
406,East,SSD,2023,10629.6,2205.44,74
407,East,HardDrive,2024,16884.92,4104.21,42
408,Southeast,Phone,2023,12179.97,2210.15,38
409,North,Webcam,2020,5601.59,1296.89,91
410,Southeast,HardDrive,2023,13471.81,2977.46,76
411,Northwest,Phone,2020,19038.61,4304.74,28
412,North,Printer,2021,26183.31,5971.73,92
413,Northwest,RAM,2024,1872.69,331.07,89
414,Northeast,RAM,2020,7338.39,1501.69,74
415,South,Camera,2022,6267.47,1158.59,31
416,Northwest,Monitor,2021,15519.85,3240.43,32
417,Southwest,Phone,2024,9901.02,2290.63,13
418,Northeast,RAM,2022,5663.04,1032.74,57
419,Central,CPU,2022,14823.23,3230.43,32
420,East,Switch,2020,3794.73,617.36,36
421,West,Tablet,2022,16569.23,3605.85,41
422,East,CPU,2022,13608.42,2656.35,31
423,Southwest,SSD,2022,15545.52,2905.57,82
424,Northeast,CPU,2020,4613.26,903.48,65
425,South,RAM,2023,3314.18,770.5,83
426,Central,Speaker,2022,4554.83,742.71,82
427,Northeast,Mouse,2020,1792.95,418.96,54
428,South,Phone,2023,17967.15,4416.38,22
429,East,Scanner,2021,3010.44,560.07,30
430,Northeast,Phone,2020,17765.42,3954.56,58
431,West,Switch,2020,5604.35,960.26,29
432,East,CPU,2021,12706.98,1917.85,63
433,South,Switch,2021,4526.09,852.29,33
434,South,Speaker,2022,3247.87,738.39,37
435,East,Keyboard,2024,5066.87,1089.39,162
436,Northeast,Headphones,2021,4305.65,836.32,105
437,South,Monitor,2021,12960.16,2441.74,37
438,Northeast,Tablet,2021,16962.07,2965.25,48
439,Central,Laptop,2022,17730.7,3563.02,57
440,Southwest,Scanner,2020,7934.75,1947.72,83
441,Southwest,Monitor,2021,24161.02,3795.73,10
442,Northeast,Speaker,2021,4410.76,912.31,66
443,Southeast,Phone,2023,5949.81,932.65,26
444,West,Mouse,2020,6863.27,1226.11,178
445,Southwest,Switch,2023,1661.87,338.63,39
446,Central,Keyboard,2022,1980.12,337.25,89
447,Southeast,Speaker,2023,5747.63,1341.8,28
448,Central,Switch,2021,1693.47,410.6,34
449,Northwest,GPU,2024,3482.76,780.73,42
450,South,Laptop,2021,7945.33,1949.0,43
451,Southeast,Printer,2021,14402.39,3285.36,54
452,South,Laptop,2022,21661.82,3387.63,55
453,South,HardDrive,2023,11459.37,2291.43,92
454,East,Webcam,2021,3496.74,837.21,34
455,West,SSD,2020,3935.35,595.14,25
456,Northwest,Webcam,2023,1902.87,468.17,24
457,Southeast,Switch,2021,3179.61,768.15,60
458,Central,Keyboard,2024,4556.21,990.21,63
459,East,Camera,2024,7715.2,1210.46,79
460,Central,Scanner,2022,2066.53,311.63,45
461,Central,CPU,2022,15162.72,2832.81,83
462,West,RAM,2021,1790.67,342.02,49
463,Southeast,Webcam,2020,2996.84,646.51,59
464,South,Headphones,2024,3027.56,745.14,86
465,Central,Keyboard,2020,3705.31,748.38,145
466,Northwest,Keyboard,2024,1695.8,362.43,150
467,South,CPU,2024,4142.59,1020.82,50
468,Central,Printer,2022,22168.83,4955.52,60
469,Northwest,Printer,2021,8065.6,1319.62,94
470,South,Tablet,2020,13852.77,2512.94,17
471,Southeast,Webcam,2021,4196.5,740.69,35
472,South,Phone,2022,22591.78,5277.27,30
473,East,Keyboard,2021,3987.87,617.7,126
474,Central,Phone,2020,23195.57,4768.9,45
475,West,Monitor,2023,11805.82,1935.91,10
476,North,Camera,2021,14534.33,2721.18,100
477,South,CPU,2024,8508.65,1340.1,28
478,West,Modem,2021,1878.38,437.54,62
479,South,Mouse,2023,1343.86,278.7,151
480,Northwest,Laptop,2023,18723.49,3210.55,21
481,Central,Printer,2023,10925.4,2315.29,51
482,Central,HardDrive,2023,14375.98,2282.51,69
483,East,Switch,2021,7300.04,1478.85,100
484,Southeast,Laptop,2023,18658.18,4256.74,32
485,Southeast,Speaker,2023,2745.43,499.36,48
486,North,Printer,2020,24667.61,5591.76,49
487,East,Monitor,2021,28707.54,5838.22,60
488,North,Camera,2024,20757.62,4855.67,42
489,East,Camera,2024,17607.53,3869.48,95
490,North,Webcam,2024,6338.34,1551.86,83
491,Southeast,Scanner,2021,4070.74,633.48,97
492,West,Laptop,2024,18934.45,4578.15,22
493,East,Speaker,2021,8733.83,1592.69,22
494,East,CPU,2021,5558.55,1312.19,29
495,Northeast,Router,2024,1646.07,300.01,40
496,Southwest,HardDrive,2022,5925.15,1221.75,98
497,Northeast,Camera,2024,9815.72,2192.83,57
498,East,Phone,2020,24185.51,6032.55,46
499,North,Phone,2024,19811.47,4888.54,24
500,South,HardDrive,2021,9466.36,1645.25,60
501,East,Keyboard,2022,4208.12,719.46,67
502,Northeast,Printer,2020,4105.61,795.76,73
503,East,Switch,2023,4124.03,773.4,81
504,West,Phone,2023,7709.81,1182.23,11
505,Northeast,Printer,2020,6706.79,1601.54,40
506,South,RAM,2020,4062.69,858.71,81
507,North,Switch,2021,7635.76,1265.32,32
508,Northeast,Headphones,2021,4391.86,975.89,188
509,Central,Scanner,2022,3295.99,623.9,90
510,Northwest,Tablet,2020,15881.09,2521.33,52
511,Northwest,Headphones,2020,1043.12,223.04,70
512,Northwest,Monitor,2022,19789.54,4739.35,26
513,South,RAM,2023,2542.42,478.34,43
514,Northwest,Mouse,2022,4323.66,746.37,118
515,North,Tablet,2020,13333.05,3077.51,36
516,West,RAM,2020,7225.53,1461.42,88
517,Northwest,CPU,2021,9610.95,1821.09,24
518,Southeast,CPU,2024,12403.31,2629.84,35
519,Northwest,Phone,2021,12451.03,2024.77,37
520,South,Switch,2021,8420.24,1965.38,53
521,Northeast,Keyboard,2020,4040.71,829.18,120
522,Southeast,Modem,2020,7518.35,1569.51,73
523,South,Switch,2021,2368.93,493.37,32
524,South,CPU,2020,8918.78,2122.79,72
525,Central,Router,2023,6947.11,1068.09,55
526,Southwest,Tablet,2024,28062.59,5336.72,35
527,Northeast,Camera,2020,22139.55,5306.92,22
528,Northeast,Scanner,2022,3470.21,818.36,32
529,West,Tablet,2022,23244.32,4232.48,56
530,Southwest,GPU,2020,5668.76,1368.12,72
531,Northwest,SSD,2022,3741.96,620.78,59
532,Southeast,Router,2021,7802.49,1856.47,23
533,East,Headphones,2021,7206.22,1104.76,62
534,Northeast,Headphones,2022,4206.01,843.36,81
535,North,Camera,2022,25614.48,4297.04,80
536,Southeast,Webcam,2022,2458.98,432.45,31
537,Central,Laptop,2023,10902.23,2259.22,23
538,West,Camera,2021,13754.49,2769.17,21
539,Northwest,Tablet,2021,28813.11,4966.72,48
540,Central,Printer,2023,22022.22,4314.15,47
541,Northwest,Scanner,2024,7651.86,1595.02,20
542,Southeast,Webcam,2024,6165.16,1099.05,33
543,Northwest,Keyboard,2022,3238.47,764.76,116
544,Central,Headphones,2021,6562.46,1574.79,153
545,Northeast,Tablet,2020,27978.97,5023.92,36
546,Southwest,Router,2020,5847.74,1211.68,44
547,Northeast,Camera,2024,22069.47,4793.2,84
548,Central,Phone,2024,12671.01,2497.18,57
549,Central,RAM,2021,8406.5,1811.13,48
550,Northeast,Camera,2022,19462.03,3564.11,53
551,Central,Modem,2020,5391.51,1150.76,94
552,South,HardDrive,2021,10481.65,2285.73,87
553,Central,Switch,2020,9037.86,2252.55,63
554,Southwest,CPU,2023,4784.22,1060.02,30
555,Northwest,Speaker,2021,3532.58,531.55,55
556,West,Phone,2024,9649.58,2184.25,15
557,East,GPU,2023,13764.62,2655.23,81
558,Southwest,Laptop,2020,21916.92,4105.26,10
559,Northeast,SSD,2021,3302.96,702.44,51
560,West,Webcam,2022,1708.15,342.2,59
561,East,Keyboard,2020,4077.18,797.47,183
562,Southeast,Speaker,2023,7279.6,1341.44,82
563,Northeast,Headphones,2021,7046.7,1217.96,83
564,West,Laptop,2024,20871.81,3895.91,51
565,North,Router,2022,8832.44,1367.78,26
